,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
247,421%,31.8%,68.2%,180.0,2010's,241,517,Maleficent,"758,411,779",758.0,4.2,2014
248,266%,23.2%,76.8%,185.0,2010's,114,378,Maleficent: Mistress of Evil,"491,730,089",492.0,2.7,2019
249,1175%,23.6%,76.4%,52.0,2000's,144,467,Mamma Mia!,"611,257,819",611.0,11.8,2008
250,536%,30.0%,70.0%,75.0,2010's,121,282,Mamma Mia! Here We Go Again,"402,264,843",402.0,5.4,2018
251,297%,43.6%,56.4%,225.0,2010's,291,377,Man of Steel,"668,045,518",668.0,3.0,2013
252,269%,49.2%,50.8%,130.0,2010's,172,178,Mary Poppins Returns,"349,546,142",350.0,2.7,2018
253,512%,26.2%,73.8%,61.0,2010's,82,231,Maze Runner: The Scorch Trials,"312,296,056",312.0,5.1,2015
254,1039%,27.1%,72.9%,20.0,2010's,56,1516,Me Before You,"207,845,075",208.0,10.4,2016
255,653%,53.4%,46.6%,80.0,2000's,279,243,Meet the Fockers,"522,657,936",523.0,6.5,2004
256,601%,50.3%,49.7%,55.0,2000's,166,164,Meet the Parents,"330,444,045",330.0,6.0,2000
257,248%,46.1%,53.9%,130.0,2010's,148,173,Megamind,"321,885,765",322.0,2.5,2010
258,655%,42.5%,57.5%,90.0,1990's,251,339,Men in Black,"589,390,539",589.0,6.5,1997
259,291%,27.4%,72.6%,225.0,2010's,179,475,Men in Black 3,"654,213,485",654.0,2.9,2012
260,318%,43.5%,56.5%,140.0,2000's,194,251,Men in Black II,"445,135,288",445.0,3.2,2002
261,1567%,29.0%,71.0%,74.0,2010's,336,823,Minions,"1,159,444,662",1159.0,15.7,2015
262,1174%,39.3%,60.7%,80.0,2020's,370,570,Minions: The Rise of Gru,"939,220,210",939.0,11.7,2022
263,351%,36.8%,63.2%,102.0,2000's,132,226,Minority Report,"358,372,926",358.0,3.5,2002
264,572%,39.5%,60.5%,80.0,1990's,181,277,Mission: Impossible,"457,696,391",458.0,5.7,1996
265,445%,27.8%,72.2%,178.0,2010's,220,571,Mission: Impossible - Fallout,"791,657,398",792.0,4.4,2018
266,479%,30.1%,69.9%,145.0,2010's,209,485,Mission: Impossible - Ghost Protocol,"694,713,380",695.0,4.8,2011
267,455%,28.6%,71.4%,150.0,2010's,195,488,Mission: Impossible - Rogue Nation,"682,716,636",683.0,4.6,2015
268,437%,39.4%,60.6%,125.0,2000's,215,331,Mission: Impossible II,"546,388,108",546.0,4.4,2000
269,266%,33.6%,66.4%,150.0,2000's,134,264,Mission: Impossible III,"398,479,497",398.0,2.7,2006
270,377%,37.7%,62.3%,175.0,2010's,249,412,Moana,"660,349,731",660.0,3.8,2016
271,604%,44.6%,55.4%,125.0,2010's,337,418,Mockingjay - Part 1,"755,356,711",755.0,6.0,2014
272,408%,43.1%,56.9%,160.0,2010's,282,372,Mockingjay - Part 2,"653,428,261",653.0,4.1,2015
273,372%,36.1%,63.9%,200.0,2010's,268,475,Monsters University,"743,559,645",744.0,3.7,2013
274,224%,52.0%,48.0%,170.0,2000's,198,183,Monsters vs. Aliens,"381,509,870",382.0,2.2,2009
275,504%,50.1%,49.9%,115.0,2000's,291,289,"Monsters, Inc.","579,707,738",580.0,5.0,2001
276,443%,38.2%,61.8%,110.0,2000's,186,301,Mr. & Mrs. Smith,"487,287,646",487.0,4.4,2005
277,1765%,49.7%,50.3%,25.0,1990's,219,222,Mrs. Doubtfire,"441,286,195",441.0,17.7,1993
278,641%,29.2%,70.8%,55.0,2010's,103,250,Murder on the Orient Express,"352,794,081",353.0,6.4,2017
279,7375%,65.5%,34.5%,5.0,2000's,241,127,My Big Fat Greek Wedding,"368,744,044",369.0,73.7,2002
280,348%,49.8%,50.2%,100.0,2000's,173,175,National Treasure,"347,512,318",348.0,3.5,2004
281,353%,47.9%,52.1%,130.0,2000's,220,239,National Treasure: Book of Secrets,"459,242,249",459.0,3.5,2007
282,1490%,56.0%,44.0%,18.0,2010's,150,1180,Neighbors,"268,157,400",268.0,14.9,2014
283,522%,43.7%,56.3%,110.0,2000's,251,324,Night at the Museum,"574,481,229",574.0,5.2,2006
284,275%,42.9%,57.1%,150.0,2000's,177,236,Night at the Museum: Battle of the Smithsonian,"413,106,170",413.0,2.8,2009
285,286%,31.3%,68.7%,127.0,2010's,114,249,Night at the Museum: Secret of the Tomb,"363,204,635",363.0,2.9,2014
286,12074%,50.1%,49.9%,0.45,2010's,27,271,No Escape,"54,333,371",54.0,120.7,2015
287,310%,20.8%,79.2%,250.0,2020's,161,613,No Time to Die,"774,153,007",774.0,3.1,2021
288,287%,28.2%,71.8%,125.0,2010's,101,258,Noah,"359,200,044",359.0,2.9,2014
289,866%,31.9%,68.1%,42.0,1990's,116,248,Notting Hill,"363,889,678",364.0,8.7,1999
290,469%,33.5%,66.5%,75.0,2010's,118,234,Now You See Me,"351,723,989",352.0,4.7,2013
291,279%,19.4%,80.6%,120.0,2010's,65,270,Now You See Me 2,"334,897,606",335.0,2.8,2016
292,530%,40.7%,59.3%,85.0,2000's,183,267,Ocean's Eleven,"450,717,150",451.0,5.3,2001
293,366%,37.6%,62.4%,85.0,2000's,117,194,Ocean's Thirteen,"311,312,624",311.0,3.7,2007
294,330%,34.6%,65.4%,110.0,2000's,126,237,Ocean's Twelve,"362,744,280",363.0,3.3,2004
295,393%,37.7%,62.3%,96.0,2010's,143,235,Once Upon a Time in Hollywood,"377,617,598",378.0,3.9,2019
296,2051%,49.6%,50.4%,5.0,2010's,50,517,Ouija,"102,529,779",103.0,20.5,2014
297,425%,45.6%,54.4%,80.0,2000's,155,185,Over the Hedge,"339,795,890",340.0,4.2,2006
298,247%,47.6%,52.4%,200.0,2010's,235,258,Oz the Great and Powerful,"493,311,825",493.0,2.5,2013
299,206%,24.8%,75.2%,200.0,2010's,102,309,Pacific Rim,"411,002,906",411.0,2.1,2013
300,1293333%,55.6%,44.0%,0.015,2000's,107,854,Paranormal Activity ,"193,360,000",194.0,12933.3,2009
301,5900%,47.9%,52.4%,3.0,2010's,84,928,Paranormal Activity 2,"177,510,000",177.0,59.0,2010
302,4140%,50.3%,25.4%,5.0,2010's,104,526,Paranormal Activity 3,"156,600,000",207.0,41.4,2011
303,2857%,38.0%,62.6%,5.0,2010's,53,889,Paranormal Activity 4,"142,838,957",142.0,28.6,2012
304,1818%,35.7%,64.3%,5.0,2010's,32,584,Paranormal Activity: The Marked Ones,"90,904,854",91.0,18.2,2014
305,1066%,15.6%,84.4%,11.0,2010's,18,990,Parasite,"117,305,012",117.3,10.7,2019
306,321%,44.2%,55.8%,140.0,2000's,199,251,Pearl Harbor,"449,220,945",449.0,3.2,2001
307,283%,22.4%,77.6%,132.0,2010's,84,290,Penguins of Madagascar,"373,515,621",374.0,2.8,2014
308,703%,32.8%,67.2%,50.0,2010's,115,236,Peter Rabbit,"351,496,066",351.0,7.0,2018
309,320%,32.2%,67.8%,300.0,2000's,309,652,Pirates of the Caribbean: At World's End,"960,996,492",961.0,3.2,2007
310,474%,39.7%,60.3%,225.0,2000's,423,643,Pirates of the Caribbean: Dead Man's Chest,"1,066,179,747",1066.0,4.7,2006
311,346%,21.7%,78.3%,230.0,2010's,173,622,Pirates of the Caribbean: Dead Men Tell No Tales,"794,881,442",795.0,3.5,2017
312,276%,23.0%,77.0%,379.0,2010's,241,805,Pirates of the Caribbean: On Stranger Tides,"1,045,713,802",1046.0,2.8,2011
313,467%,46.7%,53.3%,140.0,2000's,305,349,Pirates of the Caribbean: The Curse of the Black Pearl,"654,264,015",654.0,4.7,2003
314,362%,49.7%,50.3%,100.0,2000's,180,182,Planet of the Apes,"362,211,740",362.0,3.6,2001
315,629%,40.9%,59.1%,55.0,1990's,142,205,Pocahontas,"346,079,773",346.0,6.3,1995
316,289%,33.3%,66.7%,150.0,2010's,144,289,Pokémon Detective Pikachu,"433,230,304",433.0,2.9,2019
317,3310%,38.5%,61.5%,14.0,1990's,178,285,Pretty Woman,"463,406,268",463.0,33.1,1990
318,187%,33.8%,66.2%,225.0,2000's,142,278,Prince Caspian,"419,665,568",420.0,1.9,2008
319,182%,27.0%,73.0%,185.0,2000's,91,246,Prince of Persia: The Sands of Time,"336,365,676",336.0,1.8,2009
320,310%,31.4%,68.6%,130.0,2010's,126,277,Prometheus,"403,354,469",403.0,3.1,2012
321,427%,26.9%,73.1%,130.0,2010's,149,406,Puss in Boots,"554,987,477",555.0,4.3,2011
322,268%,28.6%,71.4%,220.0,2000's,168,421,Quantum of Solace,"589,580,482",590.0,2.7,2008
323,1950%,63.6%,36.4%,20.0,1980's,248,142,Raiders of the Lost Ark,"389,925,971",390.0,19.5,1981
324,1419%,48.7%,51.3%,25.0,1980's,173,182,Rain Man,"354,825,435",355.0,14.2,1988
325,302%,38.0%,62.0%,175.0,2010's,201,328,Ralph Breaks the Internet,"529,323,962",529.0,3.0,2018
326,357%,23.6%,76.4%,120.0,2010's,101,327,Rampage,"428,028,233",428.0,3.6,2018
327,442%,44.1%,55.9%,70.0,1990's,136,173,Ransom,"309,492,681",309.0,4.4,1996
328,416%,33.1%,66.9%,150.0,2000's,206,417,Ratatouille,"623,726,085",624.0,4.2,2007
329,333%,23.6%,76.4%,175.0,2010's,138,445,Ready Player One,"582,918,849",583.0,3.3,2018
330,781%,8.6%,91.4%,40.0,2010's,27,285,Resident Evil: The Final Chapter,"312,242,626",312.0,7.8,2016
331,1105%,65.1%,34.9%,43.0,1980's,309,166,Return of the Jedi,"475,106,177",475.0,11.0,1983
332,768%,43.8%,56.2%,113.0,2000's,380,488,Revenge of the Sith,"868,390,560",868.0,7.7,2005
333,538%,29.7%,70.3%,90.0,2010's,144,340,Rio,"483,866,518",484.0,5.4,2011
334,384%,26.4%,73.6%,130.0,2010's,132,367,Rio 2,"498,781,117",499.0,3.8,2014
335,518%,36.7%,63.3%,93.0,2010's,177,305,Rise of the Planet of the Apes,"481,800,873",482.0,5.2,2011
336,162%,32.7%,67.3%,198.0,2010's,105,216,Robin Hood,"321,669,741",322.0,1.6,2010
337,814%,42.4%,57.6%,48.0,1990's,165,225,Robin Hood: Prince of Thieves,"390,493,908",390.0,8.1,1991
338,385%,50.4%,49.6%,275.0,2010's,534,525,Rogue One,"1,058,682,142",1059.0,3.8,2016
339,386%,65.1%,34.9%,90.0,2000's,226,121,Rush Hour 2,"347,325,802",347.0,3.9,2001
340,431%,32.7%,67.3%,110.0,2010's,155,319,San Andreas,"474,009,154",474.0,4.3,2015
341,689%,45.0%,55.0%,70.0,1990's,217,265,Saving Private Ryan,"482,349,603",482.0,6.9,1998
342,1394%,45.4%,54.6%,10.0,2000's,63,761,Saw IV,"139,352,633",139.0,13.9,2007
343,1054%,49.8%,50.2%,10.8,2000's,56,571,Saw V,"113,870,000",114.0,10.5,2008
344,1464%,30.1%,69.9%,22.0,1990's,97,225,Schindler's List,"322,161,245",322.0,14.6,1993
345,1091%,30.6%,69.4%,30.0,1990's,100,227,Se7en,"327,333,559",327.0,10.9,1995
346,7538%,34.5%,65.5%,1.0,2010's,26,494,Searching,"75,383,741",75.0,75.4,2018
347,1688%,76.3%,23.7%,2.6,2000's,33,104,Semi-Pro,"43,890,000",44.0,16.9,2008
348,644%,36.4%,63.6%,65.0,2000's,153,266,Sex and the City,"418,765,519",419.0,6.4,2008
349,288%,52.0%,48.0%,150.0,2020's,225,208,Shang-Chi,"432,243,292",432.0,2.9,2021
350,499%,42.9%,57.1%,75.0,2000's,161,214,Shark Tale,"374,583,879",375.0,5.0,2004
351,366%,38.4%,61.6%,100.0,2010's,140,226,Shazam!,"366,080,049",366.0,3.7,2019
352,582%,39.9%,60.1%,90.0,2000's,209,315,Sherlock Holmes,"524,028,679",524.0,5.8,2009
353,435%,34.4%,65.6%,125.0,2010's,187,357,Sherlock Holmes: A Game of Shadows,"543,848,418",544.0,4.4,2011
354,814%,54.9%,45.1%,60.0,2000's,268,220,Shrek,"488,351,320",488.0,8.1,2001
355,619%,47.5%,52.5%,150.0,2000's,441,488,Shrek 2,"928,760,770",929.0,6.2,2004
356,456%,31.7%,68.3%,165.0,2010's,239,514,Shrek Forever After,"752,600,867",753.0,4.6,2010
357,508%,39.7%,60.3%,160.0,2000's,323,491,Shrek the Third,"813,367,380",813.0,5.1,2007
358,567%,55.8%,44.2%,72.0,2000's,228,180,Signs,"408,247,917",408.0,5.7,2002
359,1126%,55.9%,44.1%,21.0,2010's,132,1043,Silver Linings Playbook,"236,412,453",236.0,11.3,2012
360,846%,42.7%,57.3%,75.0,2010's,271,364,Sing,"634,338,384",634.0,8.5,2016
361,479%,40.0%,60.0%,85.0,2020's,163,245,Sing 2,"407,452,213",407.0,4.8,2021
362,2590%,61.9%,38.1%,3.0,2010's,48,296,Sinister,"77,712,439",78.0,25.9,2012
363,554%,27.5%,72.5%,200.0,2010's,304,804,Skyfall,"1,108,569,499",1109.0,5.5,2012
364,1572%,100.0%,0.0%,0.25,2010's,3,0,Sleight,"3,930,990",4.0,15.7,2017
365,2523%,37.4%,62.6%,15.0,2000's,141,237,Slumdog Millionaire,"378,410,542",378.0,25.2,2008
366,233%,39.2%,60.8%,170.0,2010's,155,241,Snow White and the Huntsman,"396,592,829",397.0,2.3,2012
367,131%,54.4%,45.6%,300.0,2010's,214,179,Solo: A Star Wars Story,"392,924,807",393.0,1.3,2018
368,355%,46.6%,53.4%,90.0,2020's,149,171,Sonic the Hedgehog,"319,715,683",320.0,3.6,2020
369,366%,47.4%,52.6%,110.0,2020's,191,212,Sonic the Hedgehog 2,"402,656,846",403.0,3.7,2022
370,294%,22.7%,77.3%,300.0,2010's,200,681,Spectre,"880,705,312",881.0,2.9,2015
371,947%,34.6%,65.4%,37.0,1990's,121,229,Speed,"350,448,145",350.0,9.5,1994
372,594%,49.3%,50.7%,139.0,2000's,407,418,Spider-Man,"825,025,036",825.0,5.9,2002
373,394%,47.4%,52.6%,200.0,2000's,374,415,Spider-Man 2,"788,976,453",789.0,3.9,2004
374,358%,37.6%,62.4%,250.0,2000's,337,558,Spider-Man 3,"894,983,373",895.0,3.6,2007
375,707%,34.5%,65.5%,160.0,2010's,391,741,Spider-Man: Far from Home,"1,131,927,996",1132.0,7.1,2019
376,503%,38.0%,62.0%,175.0,2010's,334,546,Spider-Man: Homecoming,"880,166,924",880.0,5.0,2017
377,427%,49.5%,50.5%,90.0,2010's,190,194,Spider-Man: Into the Spider-Verse,"384,256,930",384.0,4.3,2018
378,986%,41.3%,58.7%,200.0,2020's,814,1157,Spider-Man: No Way Home,"1,971,439,845",1971.0,9.9,2021
379,1872%,3.9%,96.1%,19.0,2000's,14,342,Spirited Away,"355,725,195",356.0,18.7,2001
380,3092%,49.6%,50.4%,9.0,2010's,138,1402,Split,"278,304,578",278.0,30.9,2017
381,257%,66.8%,33.2%,150.0,2000's,258,128,Star Trek,"385,680,446",386.0,2.6,2009
382,186%,46.2%,53.8%,185.0,2010's,159,185,Star Trek Beyond,"343,471,816",343.0,1.9,2016
383,246%,49.0%,51.0%,190.0,2010's,229,239,Star Trek Into Darkness,"467,365,246",467.0,2.5,2013
384,7049%,59.4%,40.6%,11.0,1970's,461,314,Star Wars,"775,398,007",775.0,70.5,1977
385,404%,43.5%,56.5%,185.0,2010's,325,422,Suicide Squad,"746,846,894",747.0,4.0,2016
386,175%,51.2%,48.8%,223.0,2000's,200,191,Superman Returns,"391,081,192",391.0,1.8,2006
387,836%,37.2%,62.8%,45.0,2010's,140,236,Taken 2,"376,152,455",376.0,8.4,2012
388,680%,27.3%,72.7%,48.0,2010's,89,237,Taken 3,"326,479,141",326.0,6.8,2015
389,228%,33.9%,66.1%,260.0,2010's,201,392,Tangled,"592,462,816",592.0,2.3,2010
390,345%,38.2%,61.8%,130.0,1990's,171,277,Tarzan,"448,191,819",448.0,3.4,1999
391,845%,39.8%,60.2%,65.0,2010's,219,331,Ted,"549,368,315",549.0,8.5,2012
392,323%,39.4%,60.6%,150.0,2010's,191,294,Teenage Mutant Ninja Turtles,"485,004,754",485.0,3.2,2014
393,183%,16.0%,84.0%,200.0,2020's,59,307,Tenet,"365,294,355",365.0,1.8,2020
394,521%,39.5%,60.5%,100.0,1990's,206,315,Terminator 2,"520,881,154",521.0,5.2,1991
395,232%,34.7%,65.3%,187.0,2000's,150,283,Terminator 3,"433,371,112",433.0,2.3,2003
396,284%,20.4%,79.6%,155.0,2010's,90,351,Terminator Genisys,"440,603,537",441.0,2.8,2015
397,186%,33.8%,66.2%,200.0,2000's,125,246,Terminator Salvation,"371,353,001",371.0,1.9,2009
398,277%,20.8%,79.2%,135.0,2010's,78,296,The Adventures of Tintin,"373,993,951",374.0,2.8,2011
399,330%,34.6%,65.4%,230.0,2010's,262,496,The Amazing Spider-Man,"757,930,663",758.0,3.3,2012
400,242%,28.6%,71.4%,293.0,2010's,203,506,The Amazing Spider-Man 2,"708,982,323",709.0,2.4,2014
401,483%,30.5%,69.5%,73.0,2010's,108,245,The Angry Birds Movie,"352,333,929",352.0,4.8,2016
402,690%,41.0%,59.0%,220.0,2010's,623,895,The Avengers,"1,518,815,515",1519.0,6.9,2012
403,385%,47.9%,52.1%,200.0,2020's,369,401,The Batman,"770,836,163",771.0,3.9,2022
404,1368%,33.9%,66.1%,10.0,2010's,46,904,The Best Exotic Marigold Hotel,"136,836,156",137.0,13.7,2012
405,1105%,77.6%,22.4%,5.0,2010's,42,124,The Big Sick,"55,263,649",55.0,11.1,2017
406,1066%,82.8%,17.2%,29.0,2000's,256,532,The Blind Side ,"309,200,000",309.0,10.7,2009
407,1644%,29.7%,70.3%,25.0,1990's,122,289,The Bodyguard,"411,046,449",411.0,16.4,1992
408,422%,33.2%,66.8%,125.0,2010's,175,353,The Boss Baby,"527,965,936",528.0,4.2,2017
409,404%,51.2%,48.8%,110.0,2000's,227,217,The Bourne Ultimatum,"444,100,035",444.0,4.0,2007
410,1254%,70.6%,29.4%,4.0,2010's,35,147,The Boy Next Door,"50,163,103",50.0,12.5,2015
411,1049%,82.8%,17.2%,10.0,2010's,86,180,The Campaign,"104,907,746",105.0,10.5,2012
412,1602%,42.9%,57.1%,20.0,2010's,137,183,The Conjuring,"320,406,242",320.0,16.0,2013
413,805%,31.8%,68.2%,40.0,2010's,103,219,The Conjuring 2,"321,834,351",322.0,8.0,2016
414,336%,31.9%,68.1%,175.0,2010's,187,400,The Croods,"587,235,983",587.0,3.4,2013
415,224%,38.0%,62.0%,150.0,2000's,128,208,The Curious Case of Benjamin Button,"335,802,786",336.0,2.2,2008
416,1357%,44.8%,55.2%,9.0,2010's,54,674,The Curse of La Llorona,"122,133,739",122.1,13.6,2019
417,608%,28.6%,71.4%,125.0,2000's,218,542,The Da Vinci Code,"760,006,945",760.0,6.1,2006
418,544%,53.2%,46.8%,185.0,2000's,535,471,The Dark Knight,"1,006,234,167",1006.0,5.4,2008
419,360%,41.4%,58.6%,300.0,2010's,448,633,The Dark Knight Rises,"1,081,169,825",1081.0,3.6,2012
420,442%,33.8%,66.2%,125.0,2000's,187,366,The Day After Tomorrow,"552,639,571",553.0,4.4,2004
421,1895%,3.3%,6.7%,13.0,2010's,8,166,The Death of Stalin,"24,640,027",246.0,19.0,2017
422,10176%,52.3%,47.7%,1.0,2010's,53,485,The Devil Inside,"101,758,490",102.0,101.8,2012
423,933%,38.2%,61.8%,35.0,2000's,125,202,The Devil Wears Prada,"326,706,115",327.0,9.3,2006
424,3678%,52.8%,47.2%,12.0,1970's,233,208,The Exorcist,"441,306,145",441.0,36.8,1973
425,315%,27.0%,73.0%,100.0,2010's,85,230,The Expendables 2,"314,975,955",315.0,3.1,2012
426,458%,18.3%,81.7%,270.0,2010's,226,1010,The Fate of the Furious,"1,236,005,118",1236.0,4.6,2017
427,2560%,40.6%,59.4%,12.0,2010's,124,1824,The Fault in our Stars,"307,239,013",307.0,25.6,2014
428,1023%,51.8%,48.2%,13.0,2010's,68,641,The First Purge,"133,015,065",133.0,10.2,2018
429,743%,38.2%,61.8%,46.0,1990's,131,211,The Flintstones,"341,631,208",342.0,7.4,1994
430,676%,45.3%,54.7%,306.0,2010's,937,1133,The Force Awakens,"2,069,521,700",2070.0,6.8,2015
431,838%,49.8%,50.2%,44.0,1990's,184,185,The Fugitive,"368,875,760",369.0,8.4,1993
432,38164%,59.6%,40.4%,0.1,2010's,22,154,The Gallows,"38,164,410",38.0,381.6,2015
433,1180%,74.2%,25.8%,5.0,2010's,43,152,The Gift,"58,978,653",59.0,11.8,2015
434,207%,18.8%,81.2%,180.0,2000's,70,302,The Golden Compass,"372,234,864",372.0,2.1,2007
435,166%,37.0%,63.0%,200.0,2010's,123,209,The Good Dinosaur,"332,207,671",332.0,1.7,2015
436,186%,41.0%,59.0%,190.0,2010's,145,209,The Great Gatsby,"353,659,851",354.0,1.9,2013
437,519%,40.0%,60.0%,84.0,2010's,174,261,The Greatest Showman,"435,732,529",436.0,5.2,2017
438,684%,52.9%,47.1%,75.0,2010's,271,241,The Grinch,"512,858,819",513.0,6.8,2018
439,1341%,59.1%,40.9%,35.0,2000's,277,192,The Hangover,"469,328,079",469.0,13.4,2009
440,733%,43.4%,56.6%,80.0,2010's,254,332,The Hangover Part II,"586,764,305",587.0,7.3,2011
441,351%,31.0%,69.0%,103.0,2010's,112,250,The Hangover Part III,"362,000,072",362.0,3.5,2013
442,565%,29.8%,70.2%,180.0,2010's,303,714,The Hobbit: An Unexpected Journey,"1,017,030,651",1017.0,5.7,2012
443,321%,26.5%,73.5%,300.0,2010's,255,707,The Hobbit: The Battle of the Five Armies,"962,201,338",962.0,3.2,2014
444,384%,26.9%,73.1%,250.0,2010's,258,701,The Hobbit: The Desolation of Smaug,"959,027,992",959.0,3.8,2013
445,465%,30.8%,69.2%,70.0,1990's,100,225,The Hunchback of Notre Dame,"325,338,851",325.0,4.6,1996
446,890%,58.8%,41.2%,78.0,2010's,408,286,The Hunger Games,"694,394,724",694.0,8.9,2012
447,1109%,49.1%,50.9%,78.0,2010's,425,440,The Hunger Games: Catching Fire,"865,011,746",865.0,11.1,2013
448,1571%,41.4%,58.6%,14.0,2010's,91,1289,The Imitation Game,"219,979,959",220.0,15.7,2014
449,436%,41.4%,58.6%,145.0,2000's,261,370,The Incredibles,"631,607,053",632.0,4.4,2004
450,546%,37.7%,62.3%,177.0,2010's,364,603,The Jungle Book (2016),"966,554,929",967.0,5.5,2016
451,898%,49.2%,50.8%,40.0,2010's,177,183,The Karate Kid,"359,126,022",359.0,9.0,2010
452,2849%,32.5%,67.5%,15.0,2010's,139,289,The King's Speech,"427,374,317",427.0,28.5,2010
453,925%,100.0%,198.4%,15.0,2010's,138,2754,The King's Speech,"414,200,000",139.0,9.3,2010
454,213%,41.2%,58.8%,150.0,2010's,132,188,The Last Airbender,"319,713,881",320.0,2.1,2010
455,2279%,100.0%,65.1%,1.8,2010's,41,267,The Last Exorcism,"67,730,000",41.0,22.8,2010
456,420%,46.5%,53.5%,317.0,2010's,620,713,The Last Jedi,"1,332,698,830",1333.0,4.2,2017
457,325%,24.4%,75.6%,140.0,2000's,111,344,The Last Samurai,"454,627,263",455.0,3.2,2003
458,1943%,40.2%,59.8%,3.3,2010's,25,383,The Lazarus Effect,"64,110,728",64.0,19.4,2015
459,198%,35.5%,64.5%,180.0,2010's,127,230,The Legend of Tarzan,"356,700,357",357.0,2.0,2016
460,390%,56.4%,43.6%,80.0,2010's,176,136,The Lego Batman Movie,"312,136,671",312.0,3.9,2017
461,720%,55.1%,44.9%,65.0,2010's,258,210,The Lego Movie,"468,266,122",468.0,7.2,2014
462,640%,32.7%,67.3%,260.0,2010's,544,1120,The Lion King,"1,663,250,487",1663.0,6.4,2019
463,2364%,39.8%,60.2%,45.0,1990's,423,641,The Lion King,"1,063,611,805",1064.0,23.6,1994
464,414%,39.2%,60.8%,180.0,2000's,292,453,"The Lion, the Witch and the Wardrobe","745,013,115",745.0,4.1,2005
465,499%,61.4%,38.6%,70.0,2010's,214,135,The Lorax,"349,183,316",349.0,5.0,2012
466,847%,37.0%,63.0%,73.0,1990's,229,390,The Lost World: Jurassic Park,"618,638,999",619.0,8.5,1997
467,584%,36.2%,63.8%,108.0,2010's,228,402,The Martian,"630,620,818",631.0,5.8,2015
468,1953%,34.1%,65.9%,18.0,1990's,120,232,The Mask,"351,583,407",352.0,19.5,1994
469,742%,36.8%,63.2%,63.0,1990's,172,295,The Matrix,"467,222,728",467.0,7.4,1999
470,495%,38.0%,62.0%,150.0,2000's,282,460,The Matrix Reloaded,"741,847,937",742.0,4.9,2003
471,285%,32.6%,67.4%,150.0,2000's,139,288,The Matrix Revolutions,"427,344,325",427.0,2.8,2003
472,1024%,29.4%,70.6%,34.0,2010's,102,246,The Maze Runner,"348,319,861",348.0,10.2,2014
473,298%,27.4%,72.6%,178.0,2010's,146,385,The Meg,"530,517,320",531.0,3.0,2018
474,520%,37.4%,62.6%,80.0,1990's,155,261,The Mummy,"415,933,406",416.0,5.2,1999
475,512%,19.6%,80.4%,80.0,2010's,80,329,The Mummy,"409,231,607",409.0,5.1,2017
476,452%,45.6%,54.4%,98.0,2000's,202,241,The Mummy Returns,"443,280,904",443.0,4.5,2001
477,278%,25.4%,74.6%,145.0,2000's,102,301,The Mummy: Tomb of the Dragon Emperor,"403,449,830",403.0,2.8,2008
478,1662%,32.1%,67.9%,22.0,2010's,117,248,The Nun,"365,582,797",366.0,16.6,2018
479,2040%,60.6%,39.4%,30.0,2000's,371,241,The Passion of the Christ,"612,054,506",612.0,20.4,2004
480,274%,55.6%,44.4%,120.0,2000's,183,146,The Perfect Storm,"328,718,434",329.0,2.7,2000
481,893%,46.2%,53.8%,115.0,1990's,475,553,The Phantom Menace,"1,027,082,707",1027.0,8.9,1999
482,185%,59.9%,40.1%,170.0,2000's,189,126,The Polar Express,"315,249,768",315.0,1.9,2004
483,793%,51.7%,48.3%,40.0,2000's,164,153,The Proposal,"317,375,031",317.0,7.9,2009
484,2978%,72.2%,27.8%,3.0,2010's,64,249,The Purge,"89,328,627",89.0,29.8,2013
485,1229%,65.1%,34.9%,9.0,2010's,72,386,The Purge: Anarchy,"110,602,999",111.0,12.3,2014
486,1184%,66.7%,33.3%,10.0,2010's,79,394,The Purge: Election Year,"118,416,945",118.0,11.8,2016
487,395%,34.5%,65.5%,135.0,2010's,184,349,The Revenant,"532,950,503",533.0,3.9,2015
488,391%,48.0%,52.0%,275.0,2010's,515,559,The Rise of Skywalker,"1,074,149,279",1074.0,3.9,2019
489,447%,40.0%,60.0%,75.0,1990's,134,201,The Rock,"335,062,621",335.0,4.5,1996
490,1192%,41.2%,58.8%,75.0,2010's,368,526,The Secret Life of Pets,"894,328,469",894.0,11.9,2016
491,575%,36.9%,63.1%,75.0,2010's,159,272,The Secret Life of Pets 2,"431,058,056",431.0,5.7,2019
492,715%,34.1%,65.9%,75.0,2000's,183,353,The Simpsons Movie,"536,414,293",536.0,7.2,2007
493,1682%,43.6%,56.4%,40.0,1990's,294,379,The Sixth Sense,"672,806,432",673.0,16.8,1999
494,512%,25.3%,74.7%,110.0,2010's,143,421,The Smurfs,"563,749,323",564.0,5.1,2011
495,331%,20.4%,79.6%,105.0,2010's,71,277,The Smurfs 2,"347,545,360",348.0,3.3,2013
496,439%,50.1%,49.9%,74.0,2010's,163,162,The SpongeBob Movie: Sponge Out of Water,"325,186,032",325.0,4.4,2015
497,1027%,43.0%,57.0%,68.0,2010's,301,398,The Twilight Saga: Eclipse,"698,509,825",699.0,10.3,2010
498,1819%,71.2%,28.8%,5.0,2010's,64,262,The Visit,"90,937,439",91.0,18.2,2015
499,268%,25.1%,74.9%,155.0,2010's,104,311,The Voyage of the Dawn Treader,"415,686,217",416.0,2.7,2010
