,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
57,1752%,23.8%,76.2%,52.0,2010's,217,694,Bohemian Rhapsody,"910,809,311",911.0,17.5,2018
58,207%,36.8%,63.2%,150.0,2000's,114,196,Bolt,"309,979,994",310.0,2.1,2008
59,1112%,57.0%,43.0%,4.0,2010's,25,191,Boyhood,"44,495,281",44.0,11.1,2014
60,291%,44.0%,56.0%,185.0,2010's,237,302,Brave,"538,983,207",539.0,2.9,2012
61,561%,39.5%,60.5%,127.0,2010's,281,431,Breaking Dawn - Part 1,"712,205,856",712.0,5.6,2011
62,624%,34.4%,65.6%,136.0,2010's,292,557,Breaking Dawn - Part 2,"848,853,382",849.0,6.2,2012
63,598%,50.1%,49.9%,81.0,2000's,243,242,Bruce Almighty,"484,592,874",485.0,6.0,2003
64,347%,27.2%,72.8%,135.0,2010's,127,341,Bumblebee,"467,989,645",468.0,3.5,2018
65,1191%,43.4%,56.6%,3.5,2010's,18,236,Call Me By Your Name,"41,698,818",42.0,11.9,2018
66,461%,35.4%,64.6%,250.0,2010's,408,745,Captain America: Civil War,"1,153,337,496",1153.0,4.6,2016
67,265%,47.7%,52.3%,140.0,2010's,177,194,Captain America: The First Avenger,"370,569,774",371.0,2.6,2011
68,420%,36.4%,63.6%,170.0,2010's,260,455,Captain America: The Winter Soldier,"714,421,503",714.0,4.2,2014
69,742%,37.8%,62.2%,152.0,2010's,427,702,Captain Marvel,"1,128,462,972",1128.0,7.4,2019
70,385%,52.8%,47.2%,120.0,2000's,244,218,Cars,"461,991,867",462.0,3.8,2006
71,280%,34.2%,65.8%,200.0,2010's,191,368,Cars 2,"559,852,396",560.0,2.8,2011
72,219%,39.8%,60.2%,175.0,2010's,153,231,Cars 3,"383,930,656",384.0,2.2,2017
73,411%,27.2%,72.8%,150.0,2000's,167,449,Casino Royale,"616,502,912",617.0,4.1,2006
74,477%,54.4%,45.6%,90.0,2000's,234,196,Cast Away,"429,632,142",430.0,4.8,2000
75,677%,46.8%,53.2%,52.0,2000's,165,187,Catch Me If You Can,"352,114,312",352.0,6.8,2002
76,317%,43.5%,56.5%,150.0,2000's,206,269,Charlie and the Chocolate Factory,"474,968,763",475.0,3.2,2005
77,3716%,48.8%,51.2%,1.0,2010's,18,190,Chernobyl Diaries,"37,157,648",37.0,37.2,2012
78,210%,43.1%,56.9%,150.0,2000's,135,179,Chicken Little,"314,432,837",314.0,2.1,2005
79,1055%,51.0%,49.0%,12.0,2010's,64,621,Chronicle,"126,636,097",127.0,10.6,2012
80,571%,37.1%,62.9%,95.0,2010's,201,341,Cinderella,"542,358,331",542.0,5.7,2015
81,395%,33.1%,66.9%,125.0,2010's,163,330,Clash of the Titans,"493,214,993",493.0,3.9,2010
82,359%,26.0%,74.0%,225.0,2010's,210,597,Coco,"807,817,888",808.0,3.6,2017
83,3282%,53.3%,46.7%,10.0,1980's,175,153,Crocodile Dundee,"328,203,506",328.0,32.8,1986
84,1104%,49.5%,50.5%,5.0,2010's,27,279,Dallas Buyers Club,"55,198,285",55.0,11.0,2013
85,1928%,43.4%,56.6%,22.0,1990's,184,240,Dances with Wolves,"424,208,848",424.0,19.3,1990
86,418%,29.4%,70.6%,170.0,2010's,209,502,Dawn of the Planet of the Apes,"710,644,566",711.0,4.2,2014
87,1350%,46.4%,53.6%,58.0,2010's,363,420,Deadpool,"782,836,791",783.0,13.5,2016
88,714%,41.3%,58.7%,110.0,2010's,325,461,Deadpool 2,"785,896,609",786.0,7.1,2018
89,437%,40.2%,59.8%,80.0,1990's,140,209,Deep Impact,"349,464,664",349.0,4.4,1998
90,787%,46.3%,53.7%,69.0,2010's,252,292,Despicable Me,"543,157,985",543.0,7.9,2010
91,1245%,37.9%,62.1%,78.0,2010's,368,603,Despicable Me 2,"970,766,005",971.0,12.4,2013
92,1294%,25.6%,74.4%,80.0,2010's,265,770,Despicable Me 3,"1,034,800,131",1035.0,12.9,2017
93,304%,37.3%,62.7%,142.0,2000's,161,271,Die Another Day,"431,971,116",432.0,3.0,2002
94,407%,27.3%,72.7%,90.0,1990's,100,266,Die Hard with a Vengeance,"366,101,666",366.0,4.1,1995
95,280%,39.4%,60.6%,125.0,2000's,138,212,Dinosaur,"349,822,765",350.0,2.8,2000
96,426%,38.2%,61.8%,100.0,2010's,163,263,Django Unchained,"426,074,373",426.0,4.3,2012
97,1015%,80.4%,19.6%,3.0,2010's,24,60,Don Jon,"30,450,756",30.0,10.2,2013
98,1542%,58.3%,41.7%,9.9,2010's,89,636,Don’t Breathe,"152,697,239",153.0,15.4,2016
99,2569%,97.3%,2.7%,0.7,2010's,17,5,Dope,"17,986,470",18.0,25.7,2015
