title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
Avengers: Infinity War,2048,"2,460",638%,6.4,321,679,33.10%,"1,370",66.90%,"2,048,359,754",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=204,,YES
Back to the Future,383,"1,082",2018%,20.2,19,213,55.50%,171,44.50%,"383,336,762",1985,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=553,https://en.wikipedia.org/wiki/Back_to_the_Future,
Back to the Future II,333,817,831%,8.3,40,119,35.80%,214,64.20%,"332,500,002",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=654,"https://en.wikipedia.org/wiki/Back_to_the_Future_Part_II#:~:text=The%20film%20was%20produced%20on,sets%20and%20writing%20the%20scripts.",
Bad Boys for Life,427,492,474%,4.7,90,206,48.40%,220,51.60%,"426,505,244",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=498,https://en.wikipedia.org/wiki/Bad_Boys_for_Life,
Basic Instinct,353,761,720%,7.2,49,118,33.40%,235,66.60%,"352,927,224",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=612,https://en.wikipedia.org/wiki/Basic_Instinct,
Batman,412,"1,012",857%,8.6,48,251,61.10%,160,38.90%,"411,569,241",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=512,https://en.wikipedia.org/wiki/Batman_(1989_film),
Batman Begins,374,583,249%,2.5,150,207,55.40%,167,44.60%,"373,672,993",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=568,https://www.imdb.com/title/tt0372784/,
Batman Forever,337,667,337%,3.4,100,184,54.70%,152,45.30%,"336,567,158",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=643,https://en.wikipedia.org/wiki/Batman_Forever,
Batman v Superman,874,"1,098",349%,3.5,250,330,37.80%,543,62.20%,"873,637,528",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=276,,
Beauty and the Beast,1306,"1,601",816%,8.2,160,504,38.60%,801,61.40%,"1,305,611,599",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=217,,
Beauty and the Beast,425,940,1700%,17,25,219,51.50%,206,48.50%,"424,967,620",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=500,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),
Beverly Hills Cop,316,924,2434%,24.3,13,235,74.20%,82,25.80%,"316,360,478",1984,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=685,https://en.wikipedia.org/wiki/Beverly_Hills_Cop,
Big Hero 6,658,837,399%,4,165,223,33.80%,435,66.20%,"657,869,686",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=349,,
Black Adam,389,412,169%,1.7,230,163,43.10%,215,56.90%,"377,736,860",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=561,"https://en.wikipedia.org/wiki/Black_Adam_(film)#:~:text=The%20film%20received%20mixed%20reviews,as%20a%20box%2Doffice%20bomb.",
Black Panther,1382,"1,660",674%,6.7,205,700,50.70%,682,49.30%,"1,382,248,826",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=213,,
Black Panther: Wakanda Forever,676,716,270%,2.7,250,367,54.40%,309,45.60%,"676,036,389",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=342,https://boundingintocomics.com/2022/12/14/rumor-black-panther-wakanda-forever-needs-a-box-office-total-of-1-billion-to-break-even/,
Black Swan,329,453,2534%,25.3,13,107,32.50%,222,67.50%,"329,398,046",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=660,,
Black Widow,380,432,190%,1.9,200,184,48.40%,196,51.60%,"379,751,655",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=557,https://en.wikipedia.org/wiki/Black_Widow_(2021_film),
Bohemian Rhapsody,911,"1,094",1752%,17.5,52,217,23.80%,694,76.20%,"910,809,311",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=265,,
Bolt,310,437,207%,2.1,150,114,36.80%,196,63.20%,"309,979,994",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=698,,
Brave,539,708,291%,2.9,185,237,44.00%,302,56.00%,"538,983,207",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=406,,
Bruce Almighty,485,794,598%,6,81,243,50.10%,242,49.90%,"484,592,874",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=440,https://en.wikipedia.org/wiki/Bruce_Almighty,
Bumblebee,468,562,347%,3.5,135,127,27.20%,341,72.80%,"467,989,645",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=458,https://www.google.com/search?q=bumblebee+movie+budget&oq=bumblebee+movie+budget&aqs=chrome..69i57j0i390l3.3975j0j4&sourceid=chrome&ie=UTF-8,
Captain America: Civil War,1153,"1,449",461%,4.6,250,408,35.40%,745,64.60%,"1,153,337,496",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=223,,
Captain America: The First Avenger,371,501,265%,2.6,140,177,47.70%,194,52.30%,"370,569,774",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=575,,
Captain America: The Winter Soldier,714,909,420%,4.2,170,260,36.40%,455,63.60%,"714,421,503",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=327,,
Captain Marvel,1128,"1,335",742%,7.4,152,427,37.80%,702,62.20%,"1,128,462,972",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=227,,
Cars,462,694,385%,3.8,120,244,52.80%,218,47.20%,"461,991,867",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=463,https://en.wikipedia.org/wiki/Cars_(film),
Cars 2,560,757,280%,2.8,200,191,34.20%,368,65.80%,"559,852,396",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=390,,
Cars 3,384,471,219%,2.2,175,153,39.80%,231,60.20%,"383,930,656",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=552,,
Casino Royale,617,926,411%,4.1,150,167,27.20%,449,72.80%,"616,502,912",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=369,https://www.imdb.com/title/tt0381061/,
Cast Away,430,758,477%,4.8,90,234,54.40%,196,45.60%,"429,632,142",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=493,"https://en.wikipedia.org/wiki/Cast_Away#:~:text=Cast%20Away%20kept%20performing%20well,production%20budget%20of%20%2490%20million.",
Catch Me If You Can,352,592,677%,6.8,52,165,46.80%,187,53.20%,"352,114,312",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=617,https://www.google.com/search?q=Catch+Me+If+You+Can+budget&oq=catch+me+&aqs=chrome.0.69i59j46i512j69i57j46i433i512j46i512l2j0i512j46i512j46i131i433i512j0i271.1930j0j4&sourceid=chrome&ie=UTF-8,
Charlie and the Chocolate Factory,475,742,317%,3.2,150,206,43.50%,269,56.50%,"474,968,763",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=448,https://en.wikipedia.org/wiki/Charlie_and_the_Chocolate_Factory_(film),
Chicken Little,314,491,210%,2.1,150,135,43.10%,179,56.90%,"314,432,837",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=689,https://en.wikipedia.org/wiki/Chicken_Little_(2005_film),
Cinderella,542,691,571%,5.7,95,201,37.10%,341,62.90%,"542,358,331",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=403,https://en.wikipedia.org/wiki/Cinderella_(2015_American_film),
Clash of the Titans,493,678,395%,3.9,125,163,33.10%,330,66.90%,"493,214,993",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=433,,
Coco,808,990,359%,3.6,225,210,26.00%,597,74.00%,"807,817,888",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=293,https://en.wikipedia.org/wiki/Coco_(2017_film),
Crocodile Dundee,328,892,3282%,32.8,10,175,53.30%,153,46.70%,"328,203,506",1986,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=663,https://en.wikipedia.org/wiki/Crocodile_Dundee,
Dances with Wolves,424,991,1928%,19.3,22,184,43.40%,240,56.60%,"424,208,848",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=501,https://en.wikipedia.org/wiki/Dances_with_Wolves,
Dawn of the Planet of the Apes,711,904,418%,4.2,170,209,29.40%,502,70.60%,"710,644,566",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=330,,
Deadpool,783,984,1350%,13.5,58,363,46.40%,420,53.60%,"782,836,791",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=304,,
Deadpool 2,786,944,714%,7.1,110,325,41.30%,461,58.70%,"785,896,609",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=303,,
Deep Impact,349,644,437%,4.4,80,140,40.20%,209,59.80%,"349,464,664",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=625,https://en.wikipedia.org/wiki/Deep_Impact_(film),
Despicable Me,543,746,787%,7.9,69,252,46.30%,292,53.70%,"543,157,985",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=402,,
Despicable Me 2,971,"1,255",1245%,12.4,78,368,37.90%,603,62.10%,"970,766,005",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=252,,
Despicable Me 3,1035,"1,269",1294%,12.9,80,265,25.60%,770,74.40%,"1,034,800,131",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=243,,
Die Another Day,432,726,304%,3,142,161,37.30%,271,62.70%,"431,971,116",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=491,https://en.wikipedia.org/wiki/Die_Another_Day,
Die Hard with a Vengeance,366,725,407%,4.1,90,100,27.30%,266,72.70%,"366,101,666",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=583,https://www.imdb.com/title/tt0112864/,
Dinosaur,350,617,280%,2.8,125,138,39.40%,212,60.60%,"349,822,765",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=623,"https://en.wikipedia.org/wiki/Dinosaur_(2000_film)#:~:text=With%20a%20budget%20of%20%24127.5,for%20its%20lack%20of%20originality.",
Django Unchained,426,560,426%,4.3,100,163,38.20%,263,61.80%,"426,074,373",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=499,,
Doctor Strange,678,852,411%,4.1,165,233,34.30%,445,65.70%,"677,796,076",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=341,,
Dr Strange: Multiverse of Madness,956,"1,012",478%,4.8,200,411,43.00%,544,57.00%,"955,775,804",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=258,https://en.wikipedia.org/wiki/Doctor_Strange_in_the_Multiverse_of_Madness,
Dumbo,353,418,208%,2.1,170,115,32.50%,239,67.50%,"353,284,621",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=610,,
Dune,402,457,244%,2.4,165,108,27.00%,294,73.00%,"401,847,900",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=531,"https://en.wikipedia.org/wiki/Dune_(2021_film)#:~:text=It%20was%20then%20released%20in,production%20budget%20of%20%24165%20million.",
Dunkirk,527,646,527%,5.3,100,190,36.00%,337,64.00%,"527,016,307",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=414,,
E.T.,793,"2,503",7552%,75.5,10.5,437,55.10%,356,44.90%,"792,910,554",1982,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=297,"https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial#:~:text=Filming%20took%20place%20from%20September,were%20designed%20by%20Carlo%20Rambaldi.",
Edge of Tomorrow,371,472,208%,2.1,178,100,27.00%,270,73.00%,"370,541,256",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=576,,
Empire Strikes Back,538,"2,060",1737%,17.4,31,293,54.40%,246,45.60%,"538,375,067",1980,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=407,https://en.wikipedia.org/wiki/The_Empire_Strikes_Back,YES
Enchanted,340,501,401%,4,85,128,37.50%,213,62.50%,"340,487,836",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=640,,
Eternals,402,458,201%,2,200,165,41.00%,237,59.00%,"402,064,899",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=530,https://en.wikipedia.org/wiki/Eternals_(film),
F9: The Fast Saga,726,827,363%,3.6,200,173,23.80%,553,76.20%,"726,229,501",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=325,https://www.imdb.com/title/tt5433138/,
Fantastic Beasts & Where to Find Them,814,"1,023",407%,4.1,200,234,28.80%,580,71.20%,"814,044,001",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=291,"https://en.wikipedia.org/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore#:~:text=Pictures.,of%20the%20Wizarding%20World%20franchise.",
Fantastic Four,334,521,278%,2.8,120,155,46.40%,179,53.60%,"333,535,934",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=651,,
Fast & Furious,360,508,424%,4.2,85,155,43.00%,205,57.00%,"360,366,870",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=596,,
Fast & Furious 6,789,"1,020",493%,4.9,160,239,30.30%,550,69.70%,"788,680,968",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=302,,
Fast Five,626,846,501%,5,125,210,33.50%,416,66.50%,"626,137,675",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=362,,
Fatal Attraction,320,857,2287%,22.9,14,157,48.90%,164,51.10%,"320,145,693",1987,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=680,"https://en.wikipedia.org/wiki/Fatal_Attraction#:~:text=The%20film%20became%20a%20huge,grossing%20film%20of%201987%20worldwide.",
Fifty Shades Darker,382,468,694%,6.9,55,115,30.00%,267,70.00%,"381,545,846",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=555,,
Fifty Shades Freed,372,447,676%,6.8,55,100,27.00%,272,73.00%,"371,985,018",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=572,,
Fifty Shades of Grey,570,726,1424%,14.2,40,166,29.20%,403,70.80%,"569,651,467",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=387,,
Finding Dory,1029,"1,293",514%,5.1,200,486,47.30%,542,52.70%,"1,028,570,942",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=244,,
Finding Nemo,940,"1,541",1000%,10,94,381,40.50%,560,59.50%,"940,352,645",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=261,https://en.wikipedia.org/wiki/Finding_Nemo,
Forrest Gump,678,"1,381",1233%,12.3,55,330,48.70%,348,51.30%,"678,226,465",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=340,https://en.wikipedia.org/wiki/Forrest_Gump,
Free Guy,332,377,265%,2.7,125,122,36.70%,210,63.30%,"331,526,598",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=656,https://www.pagalmovie.in/2021/10/free-guy-budget-box-office-hit-or-flop-cast-crew-story-wiki.html,
Frozen,1305,"1,687",870%,8.7,150,401,30.70%,904,69.30%,"1,304,550,716",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=218,,
Frozen II,1450,"1,715",967%,9.7,150,477,32.90%,973,67.10%,"1,450,026,933",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=211,,
Furious 7,1515,"1,930",798%,8,190,353,23.30%,"1,162",76.70%,"1,515,341,399",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=209,,
G.I. Joe: Retaliation,376,486,289%,2.9,130,123,32.60%,253,67.40%,"375,740,705",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=564,,
Ghost,506,"1,182",2199%,22,23,218,43.00%,288,57.00%,"505,703,557",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=425,https://en.wikipedia.org/wiki/Ghost_(1990_film),
Gladiator,465,821,452%,4.5,103,188,40.30%,278,59.70%,"465,380,802",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=461,https://www.forbes.com/sites/simonthompson/2020/06/15/talking-gladiator-at-20-with-producer-douglas-wick/,
Godzilla,525,668,328%,3.3,160,201,38.20%,324,61.80%,"524,976,069",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=415,,
Godzilla (1998),379,698,253%,2.5,150,136,36.00%,243,64.00%,"379,014,294",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=558,https://en.wikipedia.org/wiki/Godzilla_(1998_film),
Godzilla vs. Kong,470,535,235%,2.4,200,101,21.50%,369,78.50%,"470,067,014",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=454,"https://en.wikipedia.org/wiki/Godzilla_vs._Kong#:~:text=It%20broke%20several%20pandemic%20box,highest%2Dgrossing%20film%20of%202021.",
Godzilla: King of the Monsters,387,457,227%,2.3,170,111,28.60%,276,71.40%,"386,600,138",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=546,,
